Fig 1a: Skeie, R. B., Berntsen, T. K., Myhre, G., Tanaka, K., Kvalevåg, M. M., and Hoyle, C. R.: Anthropogenic radiative forcing time series from pre-industrial times until 2010, Atmos. Chem. Phys. , 11, 11827-11857, 10.5194/acp-11-11827-2011, 2011. 
'Year'	'CO_2'	'CH_4'	'N_2O'	'other LLGHG'
1750.000000	0.000000	0.000000	0.000000	0.000000
1751.000000	0.000773	0.000454	0.000103	0.000000
1752.000000	0.001545	0.000908	0.000207	0.000000
1753.000000	0.002317	0.001361	0.000310	0.000000
1754.000000	0.003089	0.001815	0.000414	0.000000
1755.000000	0.003861	0.002268	0.000517	0.000000
1756.000000	0.005405	0.002720	0.000620	0.000000
1757.000000	0.006949	0.003173	0.000724	0.000000
1758.000000	0.008491	0.003625	0.000827	0.000000
1759.000000	0.010034	0.004077	0.000931	0.000000
1760.000000	0.011576	0.004529	0.001034	0.000000
1761.000000	0.013117	0.004957	0.001137	0.000000
1762.000000	0.014659	0.005384	0.001241	0.000000
1763.000000	0.016199	0.005811	0.001344	0.000000
1764.000000	0.017740	0.006239	0.001419	0.000000
1765.000000	0.019279	0.006665	0.001495	0.000000
1766.000000	0.021588	0.007092	0.001570	0.000000
1767.000000	0.023896	0.007519	0.001646	0.000000
1768.000000	0.026203	0.007945	0.001721	0.000000
1769.000000	0.028509	0.008371	0.001796	0.000000
1770.000000	0.030814	0.008796	0.001872	0.000000
1771.000000	0.033501	0.009133	0.001947	0.000000
1772.000000	0.036188	0.009470	0.002023	0.000000
1773.000000	0.038873	0.009807	0.002098	0.000000
1774.000000	0.041557	0.010143	0.002173	0.000000
1775.000000	0.044239	0.010480	0.002249	0.000000
1776.000000	0.047303	0.010816	0.002324	0.000000
1777.000000	0.050365	0.011152	0.002399	0.000000
1778.000000	0.053425	0.011488	0.002475	0.000000
1779.000000	0.056484	0.011824	0.002550	0.000000
1780.000000	0.059541	0.012159	0.002626	0.000000
1781.000000	0.062214	0.012407	0.002701	0.000000
1782.000000	0.064887	0.012654	0.002776	0.000000
1783.000000	0.067557	0.012901	0.002852	0.000000
1784.000000	0.070227	0.013148	0.002927	0.000000
1785.000000	0.072895	0.013395	0.003002	0.000000
1786.000000	0.075942	0.013642	0.003078	0.000000
1787.000000	0.078988	0.013889	0.003153	0.000000
1788.000000	0.082032	0.014135	0.003228	0.000000
1789.000000	0.085074	0.014382	0.003304	0.000000
1790.000000	0.088115	0.014629	0.003379	0.000000
1791.000000	0.090774	0.015022	0.003454	0.000000
1792.000000	0.093432	0.015415	0.003530	0.000000
1793.000000	0.096089	0.015808	0.003605	0.000000
1794.000000	0.098744	0.016200	0.003680	0.000000
1795.000000	0.101398	0.016593	0.003971	0.000000
1796.000000	0.103671	0.016985	0.004261	0.000000
1797.000000	0.105944	0.017377	0.004237	0.000000
1798.000000	0.108216	0.017769	0.004212	0.000000
1799.000000	0.110487	0.018161	0.004188	0.000000
1800.000000	0.112756	0.018553	0.004135	0.000000
1801.000000	0.114647	0.019090	0.004081	0.000000
1802.000000	0.116537	0.019627	0.004028	0.000000
1803.000000	0.118427	0.020164	0.003975	0.000000
1804.000000	0.120316	0.020700	0.003922	0.000000
1805.000000	0.122204	0.021236	0.003868	0.000000
1806.000000	0.123714	0.021772	0.003815	0.000000
1807.000000	0.125223	0.022307	0.003762	0.000000
1808.000000	0.126733	0.022842	0.003709	0.000000
1809.000000	0.128241	0.023377	0.003655	0.000000
1810.000000	0.129750	0.023911	0.003602	0.000000
1811.000000	0.130504	0.024462	0.003549	0.000000
1812.000000	0.131257	0.025013	0.003495	0.000000
1813.000000	0.132011	0.025564	0.003442	0.000000
1814.000000	0.132765	0.026114	0.003389	0.000000
1815.000000	0.133519	0.026664	0.003350	0.000000
1816.000000	0.134272	0.027214	0.003311	0.000000
1817.000000	0.135025	0.027763	0.003273	0.000000
1818.000000	0.135779	0.028312	0.003234	0.000000
1819.000000	0.136532	0.028860	0.003195	0.000000
1820.000000	0.137285	0.029408	0.003156	0.000000
1821.000000	0.137661	0.029956	0.003118	0.000000
1822.000000	0.138038	0.030503	0.003079	0.000000
1823.000000	0.138414	0.031051	0.003040	0.000000
1824.000000	0.138791	0.031597	0.003002	0.000000
1825.000000	0.139167	0.032144	0.002963	0.000000
1826.000000	0.139543	0.032690	0.002924	0.000000
1827.000000	0.139920	0.033235	0.002885	0.000000
1828.000000	0.140296	0.033781	0.002847	0.000000
1829.000000	0.140672	0.034326	0.002808	0.000000
1830.000000	0.141048	0.034870	0.002769	0.000000
1831.000000	0.141425	0.035420	0.002730	0.000000
1832.000000	0.141801	0.035970	0.002692	0.000000
1833.000000	0.142177	0.036519	0.002653	0.000000
1834.000000	0.142553	0.037068	0.002534	0.000000
1835.000000	0.142929	0.037617	0.002414	0.000000
1836.000000	0.143305	0.038165	0.002295	0.000000
1837.000000	0.143681	0.038713	0.002277	0.000000
1838.000000	0.144057	0.039260	0.002258	0.000000
1839.000000	0.144433	0.039807	0.002240	0.000000
1840.000000	0.144809	0.040354	0.002222	0.000000
1841.000000	0.145561	0.041049	0.002203	0.000000
1842.000000	0.146313	0.041742	0.002186	0.000000
1843.000000	0.147065	0.042436	0.002169	0.000000
1844.000000	0.147816	0.043128	0.002152	0.000000
1845.000000	0.148568	0.043821	0.002135	0.000000
1846.000000	0.150070	0.044512	0.002118	0.000000
1847.000000	0.151573	0.045203	0.002176	0.000000
1848.000000	0.153074	0.045894	0.002235	0.000000
1849.000000	0.154576	0.046584	0.002294	0.000000
1850.000000	0.156077	0.046934	0.002353	0.000000
1851.000000	0.154200	0.047499	0.002412	0.000000
1852.000000	0.152323	0.048628	0.002471	0.000000
1853.000000	0.152323	0.049191	0.002529	0.000000
1854.000000	0.150446	0.050318	0.002588	0.000000
1855.000000	0.154200	0.050881	0.002647	0.000000
1856.000000	0.159827	0.051443	0.002828	0.000000
1857.000000	0.163575	0.052566	0.003009	0.000000
1858.000000	0.169192	0.053128	0.003190	0.000000
1859.000000	0.172933	0.054249	0.003371	0.000000
1860.000000	0.178540	0.054809	0.003552	0.000000
1861.000000	0.182275	0.055928	0.003732	0.000000
1862.000000	0.184141	0.056487	0.003913	0.000000
1863.000000	0.186007	0.057604	0.004994	0.000000
1864.000000	0.187872	0.058162	0.006073	0.000000
