Fig 1b: Skeie, R. B., Berntsen, T. K., Myhre, G., Tanaka, K., Kvalevåg, M. M., and Hoyle, C. R.: Anthropogenic radiative forcing time series from pre-industrial times until 2010, Atmos. Chem. Phys. , 11, 11827-11857, 10.5194/acp-11-11827-2011, 2011. 
'Year'	'SO_4'	'BC FFBF'	'OC FFBF'	'SOA'	'BIO'	'NO_3'	'TOT'	'SUM'
1750.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1751.000000	-0.000212	0.000547	-0.000312	-0.000206	-0.000540	-0.000111	-0.000807	-0.000834
1752.000000	-0.000424	0.001095	-0.000624	-0.000412	-0.001081	-0.000221	-0.001613	-0.001668
1753.000000	-0.000636	0.001642	-0.000936	-0.000618	-0.001621	-0.000332	-0.002420	-0.002501
1754.000000	-0.000848	0.002190	-0.001248	-0.000824	-0.002161	-0.000442	-0.003227	-0.003335
1755.000000	-0.001061	0.002737	-0.001560	-0.001030	-0.002702	-0.000553	-0.004034	-0.004169
1756.000000	-0.001273	0.003285	-0.001872	-0.001236	-0.003242	-0.000663	-0.004840	-0.005003
1757.000000	-0.001485	0.003832	-0.002185	-0.001442	-0.003783	-0.000774	-0.005647	-0.005836
1758.000000	-0.001697	0.004379	-0.002497	-0.001648	-0.004323	-0.000885	-0.006454	-0.006670
1759.000000	-0.001909	0.004927	-0.002809	-0.001854	-0.004863	-0.000995	-0.007261	-0.007504
1760.000000	-0.002121	0.005474	-0.003121	-0.002061	-0.005404	-0.001106	-0.008067	-0.008338
1761.000000	-0.002333	0.006022	-0.003433	-0.002267	-0.005944	-0.001216	-0.008874	-0.009171
1762.000000	-0.002545	0.006569	-0.003745	-0.002473	-0.006484	-0.001327	-0.009681	-0.010005
1763.000000	-0.002757	0.007117	-0.004057	-0.002679	-0.007025	-0.001438	-0.010488	-0.010839
1764.000000	-0.002970	0.007664	-0.004369	-0.002885	-0.007565	-0.001548	-0.011294	-0.011673
1765.000000	-0.003182	0.008211	-0.004681	-0.003091	-0.008106	-0.001659	-0.012101	-0.012506
1766.000000	-0.003394	0.008759	-0.004993	-0.003297	-0.008646	-0.001769	-0.012908	-0.013340
1767.000000	-0.003606	0.009306	-0.005305	-0.003503	-0.009186	-0.001880	-0.013715	-0.014174
1768.000000	-0.003818	0.009854	-0.005617	-0.003709	-0.009727	-0.001990	-0.014521	-0.015008
1769.000000	-0.004030	0.010401	-0.005929	-0.003915	-0.010267	-0.002101	-0.015328	-0.015841
1770.000000	-0.004242	0.010949	-0.006242	-0.004121	-0.010807	-0.002212	-0.016135	-0.016675
1771.000000	-0.004454	0.011496	-0.006554	-0.004327	-0.011348	-0.002322	-0.016942	-0.017509
1772.000000	-0.004667	0.012044	-0.006866	-0.004533	-0.011888	-0.002433	-0.017748	-0.018343
1773.000000	-0.004879	0.012591	-0.007178	-0.004739	-0.012428	-0.002543	-0.018555	-0.019176
1774.000000	-0.005091	0.013138	-0.007490	-0.004945	-0.012969	-0.002654	-0.019362	-0.020010
1775.000000	-0.005303	0.013686	-0.007802	-0.005151	-0.013509	-0.002764	-0.020169	-0.020844
1776.000000	-0.005515	0.014233	-0.008114	-0.005357	-0.014050	-0.002875	-0.020975	-0.021678
1777.000000	-0.005727	0.014781	-0.008426	-0.005563	-0.014590	-0.002986	-0.021782	-0.022512
1778.000000	-0.005939	0.015328	-0.008738	-0.005770	-0.015130	-0.003096	-0.022589	-0.023345
1779.000000	-0.006151	0.015876	-0.009050	-0.005976	-0.015671	-0.003207	-0.023396	-0.024179
1780.000000	-0.006363	0.016423	-0.009362	-0.006182	-0.016211	-0.003317	-0.024202	-0.025013
