Fig 1c: Skeie, R. B., Berntsen, T. K., Myhre, G., Tanaka, K., Kvalevåg, M. M., and Hoyle, C. R.: Anthropogenic radiative forcing time series from pre-industrial times until 2010, Atmos. Chem. Phys. , 11, 11827-11857, 10.5194/acp-11-11827-2011, 2011. 
'Year'	'LLGHG'	'Trop. O_3'	'Strat. O_3'	'Strat. H_2O'	'Dir. aer. effect'	'Cloud albedo effect'	'Cloud lifetime effect'	'Land use'	'Snow albedo effect'
1750.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1751.000000	0.001330	0.000375	0.000000	0.000068	-0.000807	-0.002052	-0.000866	-0.000327	0.000052
1752.000000	0.002660	0.000750	0.000000	0.000136	-0.001613	-0.004104	-0.001732	-0.000654	0.000103
1753.000000	0.003989	0.001125	0.000000	0.000204	-0.002420	-0.006156	-0.002598	-0.000981	0.000155
1754.000000	0.005318	0.001500	0.000000	0.000272	-0.003227	-0.008208	-0.003465	-0.001308	0.000206
1755.000000	0.006646	0.001875	0.000000	0.000340	-0.004034	-0.010260	-0.004331	-0.001635	0.000258
1756.000000	0.008746	0.002250	0.000000	0.000408	-0.004840	-0.012312	-0.005197	-0.001962	0.000310
1757.000000	0.010845	0.002625	0.000000	0.000476	-0.005647	-0.014364	-0.006063	-0.002289	0.000361
1758.000000	0.012944	0.003000	0.000000	0.000544	-0.006454	-0.016416	-0.006929	-0.002616	0.000413
1759.000000	0.015042	0.003375	0.000000	0.000612	-0.007261	-0.018468	-0.007795	-0.002943	0.000464
1760.000000	0.017139	0.003750	0.000000	0.000679	-0.008067	-0.020520	-0.008662	-0.003270	0.000516
1761.000000	0.019211	0.004125	0.000000	0.000743	-0.008874	-0.022572	-0.009528	-0.003597	0.000568
1762.000000	0.021283	0.004500	0.000000	0.000808	-0.009681	-0.024624	-0.010394	-0.003924	0.000619
1763.000000	0.023355	0.004875	0.000000	0.000872	-0.010488	-0.026676	-0.011260	-0.004251	0.000671
1764.000000	0.025397	0.005250	0.000000	0.000936	-0.011294	-0.028728	-0.012126	-0.004578	0.000722
1765.000000	0.027440	0.005625	0.000000	0.001000	-0.012101	-0.030780	-0.012992	-0.004905	0.000774
1766.000000	0.030250	0.006000	0.000000	0.001064	-0.012908	-0.032832	-0.013858	-0.005232	0.000826
1767.000000	0.033060	0.006375	0.000000	0.001128	-0.013715	-0.034884	-0.014725	-0.005559	0.000877
1768.000000	0.035869	0.006750	0.000000	0.001192	-0.014521	-0.036936	-0.015591	-0.005886	0.000929
1769.000000	0.038676	0.007125	0.000000	0.001256	-0.015328	-0.038988	-0.016457	-0.006213	0.000980
